#YY,MM,DD,hh,mm,WDIR,WSPD,GDR,GST,GTIME
2012,1,1,18,0,151,10.7,999,99,9999
2012,1,1,18,10,151,11.1,999,99,9999
2012,1,1,18,20,151,11.4,999,99,9999
2012,1,1,18,30,153,11.3,999,99,9999
2012,1,1,18,40,154,11.4,999,99,9999
2012,1,1,18,50,154,11.3,152,13.8,1824
2012,1,1,19,0,153,11.5,999,99,9999
2012,1,1,19,10,152,11.2,999,99,9999
2012,1,1,19,20,153,10.8,999,99,9999
2012,1,1,19,30,152,11.1,999,99,9999
2012,1,1,19,40,154,11.2,999,99,9999
2012,1,1,19,50,155,11,150,13.8,1856
2012,1,1,20,0,155,10.9,999,99,9999
2012,1,1,20,10,157,11.2,999,99,9999
2012,1,1,20,20,157,10.8,999,99,9999
2012,1,1,20,30,156,10.6,999,99,9999
2012,1,1,20,40,155,10.8,999,99,9999
2012,1,1,20,50,155,10.7,148,14.1,2040
2012,1,1,21,0,154,11.2,999,99,9999
2012,1,1,21,10,155,11.5,999,99,9999
2012,1,1,21,20,152,11.2,999,99,9999
2012,1,1,21,30,152,11.4,999,99,9999
2012,1,1,21,40,151,11.2,999,99,9999
2012,1,1,21,50,152,11.7,145,14.4,2146
2012,1,1,22,0,150,12,999,99,9999
2012,1,1,22,10,151,11.8,999,99,9999
2012,1,1,22,20,151,11.2,999,99,9999
2012,1,1,22,30,151,11.1,999,99,9999
2012,1,1,22,40,153,11.4,999,99,9999
2012,1,1,22,50,155,11.9,149,14.9,2220
2012,1,1,23,0,151,11.8,999,99,9999
2012,1,1,23,10,153,12,999,99,9999
2012,1,1,23,20,151,12.2,999,99,9999
2012,1,1,23,30,150,12.5,999,99,9999
2012,1,1,23,40,150,12.5,999,99,9999
2012,1,1,23,50,149,12.2,149,16.5,2339
2012,1,2,0,0,149,11.7,999,99,9999
2012,1,2,0,10,150,12.4,999,99,9999
2012,1,2,0,20,151,12.1,999,99,9999
2012,1,2,0,30,151,12.1,999,99,9999
2012,1,2,0,40,151,12.4,999,99,9999
2012,1,2,0,50,151,12.3,150,15.6,30
2012,1,2,1,0,153,12.4,999,99,9999
2012,1,2,1,10,152,12.5,999,99,9999
2012,1,2,1,20,151,13,999,99,9999
2012,1,2,1,30,150,13,999,99,9999
2012,1,2,1,40,150,12.9,999,99,9999
2012,1,2,1,50,151,13,148,16,127
2012,1,2,2,0,149,13.5,999,99,9999
2012,1,2,2,10,149,12.9,999,99,9999
2012,1,2,2,20,151,13.5,999,99,9999
2012,1,2,2,30,153,12.8,999,99,9999
2012,1,2,2,40,156,13.7,999,99,9999
2012,1,2,2,50,155,12.9,155,16.6,215
2012,1,2,3,0,154,13.4,999,99,9999
2012,1,2,3,10,155,13.3,999,99,9999
2012,1,2,3,20,156,12.8,999,99,9999
2012,1,2,3,30,156,12.9,999,99,9999
2012,1,2,3,40,157,13.1,999,99,9999
2012,1,2,3,50,158,13.3,159,17.1,338
2012,1,2,4,0,161,13.1,999,99,9999
2012,1,2,4,10,164,13,999,99,9999
2012,1,2,4,20,178,13.2,999,99,9999
2012,1,2,4,30,210,12.7,999,99,9999
2012,1,2,4,40,208,10,999,99,9999
2012,1,2,4,50,208,9.9,189,18.2,417
2012,1,2,5,0,209,10.5,999,99,9999
2012,1,2,5,10,204,10.2,999,99,9999
2012,1,2,5,20,205,10,999,99,9999
2012,1,2,5,30,207,10,999,99,9999
2012,1,2,5,40,209,10.1,999,99,9999
2012,1,2,5,50,215,11.1,216,13.4,548
2012,1,2,8,0,197,11.2,999,99,9999
2012,1,2,8,10,196,10.8,999,99,9999
